,Nuevos,Acumulados,Recuperados,Activos
2020-02-28,1,1,0,1
2020-02-29,3,4,0,4
2020-03-01,1,5,0,5
2020-03-02,0,5,0,5
2020-03-03,0,5,0,5
2020-03-04,0,5,0,5
2020-03-05,0,5,0,5
2020-03-06,1,6,0,6
2020-03-07,0,6,0,6
2020-03-08,1,7,0,7
2020-03-09,0,7,0,7
2020-03-10,0,7,0,7
2020-03-11,1,8,0,8
2020-03-12,4,12,0,12
2020-03-13,14,26,0,26
2020-03-14,15,41,1,40
2020-03-15,12,53,4,49
2020-03-16,29,82,5,77
2020-03-17,11,93,5,88
2020-03-18,25,118,5,113
2020-03-19,46,164,5,159
2020-03-20,39,203,5,198
2020-03-21,48,251,6,245
2020-03-22,65,316,6,310
2020-03-23,51,367,7,360
2020-03-24,38,405,7,398
2020-03-25,70,475,7,468
2020-03-26,110,585,8,577
2020-03-27,132,717,12,705
2020-03-28,131,848,26,822
2020-03-29,145,993,41,952
2020-03-30,101,1094,53,1041
2020-03-31,121,1215,82,1133
2020-04-01,163,1378,93,1285
2020-04-02,132,1510,118,1392
2020-04-03,178,1688,164,1524
2020-04-04,202,1890,203,1687
2020-04-05,253,2143,251,1892
2020-04-06,296,2439,316,2123
2020-04-07,346,2785,367,2418
2020-04-08,396,3181,405,2776
2020-04-09,260,3441,475,2966
2020-04-10,403,3844,585,3259
2020-04-11,375,4219,717,3502
2020-04-12,442,4661,848,3813
2020-04-13,353,5014,993,4021
2020-04-14,385,5399,1094,4305
2020-04-15,448,5847,1215,4632
2020-04-16,450,6297,1378,4919
2020-04-17,578,6875,1510,5365
2020-04-18,622,7497,1688,5809
2020-04-19,764,8261,1890,6371
2020-04-20,511,8772,2143,6629
2020-04-21,729,9501,2439,7062
2020-04-22,1043,10544,2785,7759
2020-04-23,1089,11633,3181,8452
2020-04-24,1239,12872,3441,9431
2020-04-25,970,13842,3844,9998
2020-04-26,835,14677,4219,10458
2020-04-27,852,15529,4661,10868
2020-04-28,1223,16752,5014,11738
2020-04-29,1047,17799,5399,12400
2020-04-30,1425,19224,5847,13377
2020-05-01,1515,20739,6297,14442
2020-05-02,1349,22088,6875,15213
2020-05-03,1383,23471,7497,15974
2020-05-04,1434,24905,8261,16644
2020-05-05,1120,26025,8772,17253
2020-05-06,1609,27634,9501,18133
2020-05-07,1982,29616,10544,19072
2020-05-08,1906,31522,11633,19889
2020-05-09,1938,33460,12872,20588
2020-05-10,1562,35022,13842,21180
2020-05-11,1305,36327,14677,21650
2020-05-12,1997,38324,15529,22795
2020-05-13,1862,40186,16752,23434
2020-05-14,2409,42595,17799,24796
2020-05-15,2437,45032,19224,25808
2020-05-16,2112,47144,20739,26405
2020-05-17,2075,49219,22088,27131
2020-05-18,2414,51633,23471,28162
2020-05-19,2713,54346,24905,29441
2020-05-20,2248,56594,26025,30569
2020-05-21,2973,59567,27634,31933
2020-05-22,2960,62527,29616,32911
2020-05-23,3329,65856,31522,34334
2020-05-24,2764,68620,33460,35160
2020-05-25,2485,71105,35022,36083
2020-05-26,3455,74560,36327,38233
2020-05-27,3463,78023,38324,39699
2020-05-28,3377,81400,40186,41214
2020-05-29,3227,84627,42595,42032
2020-05-30,2885,87512,45032,42480
2020-05-31,3152,90664,47144,43520
2020-06-01,2771,93435,49219,44216
2020-06-02,3891,97326,51633,45693
2020-06-03,3912,101238,54346,46892
2020-06-04,4442,105680,56594,49086
2020-06-05,4346,110026,59567,50459
2020-06-06,3593,113619,62527,51092
2020-06-07,3484,117103,65856,51247
2020-06-08,2999,120102,68620,51482
2020-06-09,4199,124301,71105,53196
2020-06-10,4883,129184,74560,54624
2020-06-11,4790,133974,78023,55951
2020-06-12,5222,139196,81400,57796
2020-06-13,3494,142690,84627,58063
2020-06-14,4147,146837,87512,59325
2020-06-15,3427,150264,90664,59600
2020-06-16,4599,154863,93435,61428
2020-06-17,4930,159793,97326,62467
2020-06-18,5662,165455,101238,64217
2020-06-19,5030,170485,105680,64805
2020-06-20,4717,175202,110026,65176
2020-06-21,5343,180545,113619,66926
2020-06-22,4577,185122,117103,68019
2020-06-23,6288,191410,120102,71308
2020-06-24,5437,196847,124301,72546
2020-06-25,6104,202951,129184,73767
2020-06-26,5441,208392,133974,74418
2020-06-27,4410,212802,139196,73606
2020-06-28,4050,216852,142690,74162
2020-06-29,3805,220657,146837,73820
2020-06-30,5432,226089,150264,75825
2020-07-01,5681,231770,154863,76907
2020-07-02,6741,238511,159793,78718
2020-07-03,6740,245251,165455,79796
2020-07-04,6914,252165,170485,81680
2020-07-05,4683,256848,175202,81646
2020-07-06,4902,261750,180545,81205
2020-07-07,6258,268008,185122,82886
2020-07-08,6995,275003,191410,83593
2020-07-09,7280,282283,196847,85436
2020-07-10,6891,289174,202951,86223
2020-07-11,6094,295268,208392,86876
2020-07-12,4482,299750,212802,86948
2020-07-13,4685,304435,216852,87583
2020-07-14,7051,311486,220657,90829
2020-07-15,6149,317635,226089,91546
2020-07-16,6406,324041,231770,92271
2020-07-17,7257,331298,238511,92787
2020-07-18,7615,338913,245251,93662
2020-07-19,5311,344224,252165,92059
2020-07-20,5172,349396,256848,92548
2020-07-21,6859,356255,261750,94505
2020-07-22,6019,362274,268008,94266
2020-07-23,8438,370712,275003,95709
2020-07-24,7573,378285,282283,96002
2020-07-25,6751,385036,289174,95862
2020-07-26,5480,390516,295268,95248
2020-07-27,4973,395489,299750,95739
2020-07-28,7208,402697,304435,98262
2020-07-29,5752,408449,311486,96963
2020-07-30,7730,416179,317635,98544
2020-07-31,8458,424637,324041,100596
2020-08-01,9556,434193,331298,102895
2020-08-02,4853,439046,338913,100133
2020-08-03,4767,443813,344224,99589
2020-08-04,6148,449961,349396,100565
2020-08-05,6139,456100,356255,99845
2020-08-06,6590,462690,362274,100416
2020-08-07,6717,469407,370712,98695
2020-08-08,6495,475902,378285,97617
2020-08-09,4376,480278,385036,95242
2020-08-10,5558,485836,390516,95320
2020-08-11,6686,492522,395489,97033
2020-08-12,5858,498380,402697,95683
2020-08-13,7371,505751,408449,97302
2020-08-14,5618,511369,416179,95190
2020-08-15,6345,517714,424637,93077
2020-08-16,4448,522162,434193,87969
2020-08-17,3571,525733,439046,86687
2020-08-18,5506,531239,443813,87426
2020-08-19,5792,537031,449961,87070
2020-08-20,6775,543806,456100,87706
2020-08-21,5928,549734,462690,87044
2020-08-22,6482,556216,469407,86809
2020-08-23,3948,560164,475902,84262
2020-08-24,3541,563705,480278,83427
2020-08-25,4916,568621,485836,82785
2020-08-26,5267,573888,492522,81366
2020-08-27,6026,579914,498380,81534
2020-08-28,5824,585738,505751,79987
2020-08-29,5974,591712,511369,80343
2020-08-30,4129,595841,517714,78127
2020-08-31,3719,599560,522162,77398
2020-09-01,6476,606036,525733,80303
2020-09-02,4921,610957,531239,79718
2020-09-03,5937,616894,537031,79863
2020-09-04,6196,623090,543806,79284
2020-09-05,6319,629409,549734,79675
2020-09-06,4614,634023,556216,77807
2020-09-07,3486,637509,560164,77345
2020-09-08,5351,642860,563705,79155
2020-09-09,4461,647321,568621,78700
2020-09-10,5043,652364,573888,78476
2020-09-11,5935,658299,579914,78385
2020-09-12,5674,663973,585738,78235
2020-09-13,4408,668381,591712,76669
2020-09-14,3335,671716,595841,75875
2020-09-15,4771,676487,599560,76927
2020-09-16,4444,680931,606036,74895
2020-09-17,3182,684113,610957,73156
2020-09-18,4841,688954,616894,72060
2020-09-19,5167,694121,623090,71031
2020-09-20,3542,697663,629409,68254
2020-09-21,2917,700580,634023,66557
2020-09-22,4683,705263,637509,67754
2020-09-23,4786,710049,642860,67189
2020-09-24,5408,715457,647321,68136
2020-09-25,5401,720858,652364,68494
2020-09-26,5573,726431,658299,68132
2020-09-27,3886,730317,663973,66344
2020-09-28,3400,733717,668381,65336
2020-09-29,4446,738163,671716,66447
2020-09-30,5053,743216,676487,66729
2020-10-01,5099,748315,680931,67384
2020-10-02,4775,753090,684113,68977
