,Nuevos,Acumulados,Recuperados,Activos
2020-03-21,4,4,0,4
2020-03-22,4,8,0,8
2020-03-23,2,10,0,10
2020-03-24,1,11,0,11
2020-03-25,1,12,0,12
2020-03-26,5,17,0,17
2020-03-27,1,18,0,18
2020-03-28,1,19,0,19
2020-03-29,3,22,0,22
2020-03-30,0,22,0,22
2020-03-31,1,23,0,23
2020-04-01,2,25,0,25
2020-04-02,0,25,0,25
2020-04-03,5,30,0,30
2020-04-04,1,31,0,31
2020-04-05,4,35,4,31
2020-04-06,1,36,8,28
2020-04-07,3,39,10,29
2020-04-08,5,44,11,33
2020-04-09,3,47,12,35
2020-04-10,3,50,17,33
2020-04-11,8,58,18,40
2020-04-12,5,63,19,44
2020-04-13,5,68,22,46
2020-04-14,4,72,22,50
2020-04-15,7,79,23,56
2020-04-16,21,100,25,75
2020-04-17,6,106,25,81
2020-04-18,11,117,30,87
2020-04-19,7,124,31,93
2020-04-20,16,140,35,105
2020-04-21,7,147,36,111
2020-04-22,23,170,39,131
2020-04-23,8,178,44,134
2020-04-24,19,197,47,150
2020-04-25,14,211,50,161
2020-04-26,9,220,58,162
2020-04-27,37,257,63,194
2020-04-28,32,289,68,221
2020-04-29,35,324,72,252
2020-04-30,17,341,79,262
2020-05-01,22,363,100,263
2020-05-02,17,380,106,274
2020-05-03,10,390,117,273
2020-05-04,16,406,124,282
2020-05-05,26,432,140,292
2020-05-06,55,487,147,340
2020-05-07,31,518,170,348
2020-05-08,53,571,178,393
2020-05-09,20,591,197,394
2020-05-10,7,598,211,387
2020-05-11,34,632,220,412
2020-05-12,43,675,257,418
2020-05-13,51,726,289,437
2020-05-14,64,790,324,466
2020-05-15,60,850,341,509
2020-05-16,95,945,363,582
2020-05-17,14,959,380,579
2020-05-18,47,1006,390,616
2020-05-19,112,1118,406,712
2020-05-20,71,1189,432,757
2020-05-21,76,1265,487,778
2020-05-22,89,1354,518,836
2020-05-23,46,1400,571,829
2020-05-24,50,1450,591,859
2020-05-25,72,1522,598,924
2020-05-26,103,1625,632,993
2020-05-27,111,1736,675,1061
2020-05-28,114,1850,726,1124
2020-05-29,60,1910,790,1120
2020-05-30,49,1959,850,1109
2020-05-31,35,1994,945,1049
2020-06-01,49,2043,959,1084
2020-06-02,90,2133,1006,1127
2020-06-03,61,2194,1118,1076
2020-06-04,161,2355,1189,1166
2020-06-05,40,2395,1265,1130
2020-06-06,106,2501,1354,1147
2020-06-07,110,2611,1400,1211
2020-06-08,99,2710,1450,1260
2020-06-09,203,2913,1522,1391
2020-06-10,167,3080,1625,1455
2020-06-11,168,3248,1736,1512
2020-06-12,143,3391,1850,1541
2020-06-13,97,3488,1910,1578
2020-06-14,56,3544,1959,1585
2020-06-15,159,3703,1994,1709
2020-06-16,188,3891,2043,1848
2020-06-17,197,4088,2133,1955
2020-06-18,154,4242,2194,2048
2020-06-19,154,4396,2355,2041
2020-06-20,173,4569,2395,2174
2020-06-21,81,4650,2501,2149
2020-06-22,98,4748,2611,2137
2020-06-23,196,4944,2710,2234
2020-06-24,248,5192,2913,2279
2020-06-25,152,5344,3080,2264
2020-06-26,118,5462,3248,2214
2020-06-27,87,5549,3391,2158
2020-06-28,32,5581,3488,2093
2020-06-29,241,5822,3544,2278
2020-06-30,86,5908,3703,2205
2020-07-01,97,6005,3891,2114
2020-07-02,119,6124,4088,2036
2020-07-03,95,6219,4242,1977
2020-07-04,136,6355,4396,1959
2020-07-05,98,6453,4569,1884
2020-07-06,93,6546,4650,1896
2020-07-07,138,6684,4748,1936
2020-07-08,151,6835,4944,1891
2020-07-09,137,6972,5192,1780
2020-07-10,121,7093,5344,1749
2020-07-11,101,7194,5462,1732
2020-07-12,91,7285,5549,1736
2020-07-13,68,7353,5581,1772
2020-07-14,111,7464,5822,1642
2020-07-15,164,7628,5908,1720
2020-07-16,178,7806,6005,1801
2020-07-17,133,7939,6124,1815
2020-07-18,136,8075,6219,1856
2020-07-19,116,8191,6355,1836
2020-07-20,84,8275,6453,1822
2020-07-21,134,8409,6546,1863
2020-07-22,172,8581,6684,1897
2020-07-23,158,8739,6835,1904
2020-07-24,170,8909,6972,1937
2020-07-25,126,9035,7093,1942
2020-07-26,126,9161,7194,1967
2020-07-27,90,9251,7285,1966
2020-07-28,130,9381,7353,2028
2020-07-29,174,9555,7464,2091
2020-07-30,170,9725,7628,2097
2020-07-31,157,9882,7806,2076
2020-08-01,197,10079,7939,2140
2020-08-02,185,10264,8075,2189
2020-08-03,132,10396,8191,2205
2020-08-04,95,10491,8275,2216
2020-08-05,155,10646,8409,2237
2020-08-06,158,10804,8581,2223
2020-08-07,192,10996,8739,2257
2020-08-08,194,11190,8909,2281
2020-08-09,145,11335,9035,2300
2020-08-10,166,11501,9161,2340
2020-08-11,162,11663,9251,2412
2020-08-12,177,11840,9381,2459
2020-08-13,147,11987,9555,2432
2020-08-14,154,12141,9725,2416
2020-08-15,162,12303,9882,2421
2020-08-16,157,12460,10079,2381
2020-08-17,159,12619,10264,2355
2020-08-18,171,12790,10396,2394
2020-08-19,168,12958,10491,2467
2020-08-20,190,13148,10646,2502
2020-08-21,196,13344,10804,2540
2020-08-22,208,13552,10996,2556
2020-08-23,208,13760,11190,2570
2020-08-24,195,13955,11335,2620
2020-08-25,165,14120,11501,2619
2020-08-26,175,14295,11663,2632
2020-08-27,174,14469,11840,2629
2020-08-28,186,14655,11987,2668
2020-08-29,139,14794,12141,2653
2020-08-30,187,14981,12303,2678
2020-08-31,181,15162,12460,2702
2020-09-01,189,15351,12619,2732
2020-09-02,189,15540,12790,2750
2020-09-03,168,15708,12958,2750
2020-09-04,197,15905,13148,2757
2020-09-05,253,16158,13344,2814
2020-09-06,228,16386,13552,2834
2020-09-07,208,16594,13760,2834
2020-09-08,201,16795,13955,2840
2020-09-09,144,16939,14120,2819
2020-09-10,181,17120,14295,2825
2020-09-11,200,17320,14469,2851
2020-09-12,206,17526,14655,2871
2020-09-13,178,17704,14794,2910
2020-09-14,181,17885,14981,2904
2020-09-15,196,18081,15162,2919
2020-09-16,147,18228,15351,2877
2020-09-17,130,18358,15540,2818
2020-09-18,182,18540,15708,2832
2020-09-19,197,18737,15905,2832
2020-09-20,175,18912,16158,2754
2020-09-21,163,19075,16386,2689
2020-09-22,144,19219,16594,2625
2020-09-23,170,19389,16795,2594
2020-09-24,178,19567,16939,2628
2020-09-25,179,19746,17120,2626
2020-09-26,155,19901,17320,2581
2020-09-27,145,20046,17526,2520
2020-09-28,148,20194,17704,2490
2020-09-29,146,20340,17885,2455
2020-09-30,125,20465,18081,2384
2020-10-01,182,20647,18228,2419
2020-10-02,196,20843,18358,2485
2020-10-03,199,21042,18540,2502
2020-10-04,198,21240,18737,2503
2020-10-05,187,21427,18912,2515
2020-10-06,153,21580,19075,2505
2020-10-07,102,21682,19219,2463
2020-10-08,129,21811,19389,2422
2020-10-09,147,21958,19567,2391
2020-10-10,148,22106,19746,2360
2020-10-11,120,22226,19901,2325
